@odata.etag,_modifiedby_value,statuscode,overriddencreatedon,itsm_ads_product_lineid,_createdby_value,itsm_product_name,versionnumber,_owningteam_value,_itsm_pagename_value,createdon,_ownerid_value,utcconversiontimezonecode,itsm_fx_post,itsm_prefixfx,itsm_affiliatelink,_itsm_ads_value,itsm_postlink,itsm_subid4,timezoneruleversionnumber,itsm_subid2,_createdonbehalfby_value,itsm_id,_itsm_agentpost_value,importsequencenumber,_owningbusinessunit_value,_owninguser_value,itsm_channel_name,_modifiedonbehalfby_value,modifiedon,_itsm_productname_value,statecode,itsm_subid3,itsm_page_name,_itsm_channel_value
"W/""6417239""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,1828379f-42cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BEAUTILAB PEACH NECTAR PERFUMED WHITENING BODY LOTION,6417239,,77f64ce0-c971-f011-b4cd-0022485aa5a7,2025-11-27T03:39:12Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://shopee.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0012-01,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T03:39:44Z,e60a8260-a272-f011-b4cd-0022485aa5a7,0,shopeecpas,statusnong,53e72268-ed70-f011-b4cd-0022485aa5a7
"W/""6417240""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,f5289caf-42cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BL HEAVENLY BLISS PERFUMED DEODORANT SPRAY,6417240,,4bb1bee7-c971-f011-b4cd-0022485aa5a7,2025-11-27T03:39:33Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://shopee.com/123,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0013-02,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T03:39:45Z,1e0c8260-a272-f011-b4cd-0022485aa5a7,0,shopeebeautilab,statusnong,51e72268-ed70-f011-b4cd-0022485aa5a7
"W/""6423104""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,ecb0cb3b-68cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BL HEAVENLY BLISS PERFUMED BODY LOTION,6423104,,,2025-11-27T08:08:21Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1007,SHBL,https://shopee.com/777555,2b3e00da-d98e-f011-b4cc-0022485aa5a7,,SHBL1007,,BL0012-02,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeebeautilab,,2025-11-27T08:08:21Z,190c8260-a272-f011-b4cd-0022485aa5a7,0,,theauntienextdoor,
"W/""6429192""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,cbb9f5a6-7ccb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BL 2ND SKINCOVER COLOR-CHANGING TINT FOUNDATION NO.02 NATURAL BEIGE,6429192,,,2025-11-27T10:34:29Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://shopee.com/1150,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0034-02,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T10:34:29Z,590c8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
"W/""6429824""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,382111b3-a6cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BEAUTILAB HEAVENLY BLISS PERFUMED DEODORANT SPRAY,6429824,,,2025-11-27T15:35:28Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://1111.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0013-02,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T15:35:28Z,ea0a8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
"W/""6429828""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,38abe5bb-a6cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BEAUTILAB TAM EYESHADOW PALETTE,6429828,,,2025-11-27T15:35:44Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://5555.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0022,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T15:35:44Z,320c8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
"W/""6429831""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,ffc0edc8-a6cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BEAUTILAB CLOUDBROW NATURAL FLUFFY LOOKING TINTED MASCARA,6429831,,,2025-11-27T15:36:05Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://666.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0024,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T15:36:05Z,f50a8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
"W/""6429835""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,383329db-a6cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BL PEACH NECTAR PERFUMED DEODORANT SPRAY,6429835,,,2025-11-27T15:36:36Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://p.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0013-01,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T15:36:36Z,100c8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
"W/""6429839""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,cc3703e6-a6cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BLXTELATUBBIES FOUNDATION SPONG SET (4Sku),6429839,,,2025-11-27T15:36:54Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://4.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0045,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T15:36:54Z,6b0c8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
"W/""6429842""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,8c9e3fee-a6cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,BLXTELATUBBIES FOUNDATION SPONG SET (4Sku),6429842,,,2025-11-27T15:37:15Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://2.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,BL0045,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T15:37:15Z,6b0c8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
"W/""6429846""",e9c68b5c-3700-f011-bae4-000d3aa02012,1,,3a4b72ff-a6cb-f011-8543-6045bd227883,e9c68b5c-3700-f011-bae4-000d3aa02012,Dr.PONG เซตสุดคุ้ม 001,6429846,,,2025-11-27T15:37:36Z,e9c68b5c-3700-f011-bae4-000d3aa02012,,1013,SHCPAS,https://9.com,4d8a4a89-e199-f011-b41c-0022485aa5a7,,SHCPAS1013,,DP0043+DP0142,,,,,9bbe8b5c-3700-f011-bae4-000d3aa02012,e9c68b5c-3700-f011-bae4-000d3aa02012,shopeecpas,,2025-11-27T15:37:36Z,a40b8260-a272-f011-b4cd-0022485aa5a7,0,,statusnong,
